Time(ms),X,Y,Area
52123,, ,Model
52135,, ,Model
52145,, ,Model
52156,, ,Model
52168,, ,Model
52179,, ,Model
52190,, ,Model
52203,, ,Model
52213,, ,Model
52224,, ,Model
52235,, ,Model
52247,, ,Model
52258,, ,Model
52269,, ,Model
52279,, ,Model
52290,, ,Model
52302,, ,Model
52312,, ,Model
52322,, ,Model
52336,, ,Model
52347,, ,Model
52359,, ,Model
52369,, ,Model
52380,, ,Model
52391,, ,Model
52402,, ,Model
52413,, ,Model
52424,, ,Model
52436,, ,Model
52446,, ,Model
52458,, ,Model
52469,, ,Model
52487,, ,Model
52502,, ,Model
52513,, ,Model
52524,, ,Model
52536,, ,Model
52552,, ,Model
52563,, ,Model
52573,, ,Model
52585,, ,Model
52597,, ,Model
52608,, ,Model
52619,, ,Model
52630,, ,Model
52640,, ,Model
52652,, ,Model
52663,, ,Model
52674,, ,Model
52685,, ,Model
52697,, ,Model
52707,, ,Model
52719,, ,Model
52730,, ,Model
52741,, ,Model
52752,, ,Model
52763,, ,Model
52773,, ,Model
52786,, ,Model
52797,, ,Model
52807,, ,Model
52819,, ,Model
52829,, ,Model
52840,, ,Model
52853,, ,Model
52869,, ,Model
52879,, ,Model
52890,, ,Model
52902,, ,Model
52912,, ,Model
52923,, ,Model
52935,, ,Model
52946,, ,Model
52956,, ,Model
52969,, ,Model
52981,, ,Model
52991,, ,Model
53002,, ,Model
53013,, ,Model
53025,, ,Model
53035,, ,Model
53046,, ,Model
53056,, ,Model
53069,, ,Model
53079,, ,Model
53089,, ,Model
53102,, ,Model
53112,, ,Model
53122,, ,Model
53136,, ,Model
53146,, ,Model
53157,, ,Model
53168,, ,Model
53179,, ,Model
53189,, ,Model
53202,, ,Model
53212,, ,Model
53223,, ,Model
53235,, ,Model
53246,, ,Model
53256,, ,Model
53268,, ,Model
53279,, ,Model
53289,, ,Model
53301,, ,Model
53312,, ,Model
53323,, ,Model
53336,, ,Model
53347,, ,Model
53357,, ,Model
53368,, ,Model
53379,, ,Model
53391,, ,Model
53402,, ,Model
53412,, ,Model
53423,, ,Model
53436,, ,Model
53446,, ,Model
53457,, ,Model
53468,, ,Model
53479,, ,Model
53489,, ,Model
53502,, ,Model
53512,, ,Model
53522,, ,Model
53535,, ,Model
53546,, ,Model
53556,, ,Model
53568,, ,Model
53579,, ,Model
53591,, ,Model
53601,, ,Model
53612,, ,Model
53624,, ,Model
53635,, ,Model
53645,696.60,504.42,Area 3
53655,696.60,504.42,Area 3
53668,696.60,504.42,Area 3
53679,723.69,524.83,Area 3
53690,723.69,524.83,Area 3
53702,723.69,524.83,Area 3
53713,839.95,515.26,Area 3
53723,839.95,515.26,Area 3
53735,839.95,515.26,Area 3
53746,794.16,522.21,Area 3
53756,794.16,522.21,Area 3
53770,797.14,525.90,Area 3
53785,797.14,525.90,Area 3
53796,797.14,525.90,Area 3
53807,850.27,467.09,Area 3
53818,850.27,467.09,Area 3
53829,844.77,462.76,Area 3
53840,844.77,462.76,Area 3
53852,844.77,462.76,Area 3
53862,820.88,488.98,Area 3
53872,820.88,488.98,Area 3
53885,820.88,488.98,Area 3
53896,834.08,464.91,Area 3
53906,834.08,464.91,Area 3
53919,778.38,475.60,Area 3
53930,778.38,475.60,Area 3
53941,778.38,475.60,Area 3
53952,762.28,481.23,Area 3
53962,762.28,481.23,Area 3
53973,762.28,481.23,Area 3
53986,804.52,465.30,Area 3
53997,804.52,465.30,Area 3
54008,804.52,465.30,Area 3
54018,817.09,453.27,Area 3
54029,817.09,453.27,Area 3
54039,779.06,471.63,Area 3
54052,779.06,471.63,Area 3
54063,779.06,471.63,Area 3
54073,779.06,471.63,Area 3
54086,702.18,576.48,Area 1
54096,702.18,576.48,Area 1
54107,716.58,627.72,Area 1
54119,716.58,627.72,Area 1
54130,704.51,659.82,Area 1
54141,704.51,659.82,Area 1
54152,704.51,659.82,Area 1
54163,706.71,653.44,Area 1
54174,706.71,653.44,Area 1
54185,706.71,653.44,Area 1
54195,708.63,635.41,Area 1
54206,708.63,635.41,Area 1
54219,687.59,501.22,Area 3
54236,687.59,501.22,Area 3
54246,687.59,501.22,Area 3
54257,641.50,371.87,Area 3
54269,641.50,371.87,Area 3
54279,630.89,383.05,Area 3
54290,630.89,383.05,Area 3
54302,630.89,383.05,Area 3
54312,631.90,398.22,Area 3
54323,631.90,398.22,Area 3
54337,631.90,398.22,Area 3
54352,654.64,405.37,Area 3
54362,654.64,405.37,Area 3
54373,662.20,358.91,Area 3
54385,662.20,358.91,Area 3
54396,662.20,358.91,Area 3
54407,700.45,284.39,Area 3
54419,700.45,284.39,Area 3
54429,700.45,284.39,Area 3
54439,746.38,250.04,Area 3
54452,746.38,250.04,Area 3
54463,775.29,236.17,Area 3
54473,775.29,236.17,Area 3
54486,775.29,236.17,Area 3
54497,760.46,243.91,Area 3
54508,760.46,243.91,Area 3
54519,760.46,243.91,Area 3
54529,733.82,255.88,Area 3
54540,733.82,255.88,Area 3
54552,761.27,248.26,Area 3
54563,761.27,248.26,Area 3
54573,761.27,248.26,Area 3
54586,773.38,247.49,Area 3
54596,773.38,247.49,Area 3
54606,773.38,247.49,Area 3
54619,769.04,238.87,Area 3
54635,769.04,238.87,Area 3
54646,761.54,225.74,Area 3
54658,761.54,225.74,Area 3
54668,761.54,225.74,Area 3
54678,745.76,231.67,Area 3
54689,745.76,231.67,Area 3
54702,734.70,245.58,Area 3
54713,734.70,245.58,Area 3
54724,734.70,245.58,Area 3
54736,726.53,251.52,Area 3
54746,726.53,251.52,Area 3
54756,726.53,251.52,Area 3
54768,726.53,251.52,Area 3
54779,726.53,251.52,Area 3
54790,726.53,251.52,Area 3
54801,798.57,794.19,Area 1
54812,798.57,794.19,Area 1
54824,690.40,776.03,Area 1
54836,690.40,776.03,Area 1
54846,690.40,776.03,Area 1
54857,582.23,757.86,Area 1
54869,582.23,757.86,Area 1
54880,582.23,757.86,Area 1
54890,582.23,757.86,Area 1
54902,582.23,757.86,Area 1
54913,582.23,757.86,Area 1
54924,582.23,757.86,Area 1
54935,582.23,757.86,Area 1
54945,582.23,757.86,Area 1
54956,582.23,757.86,Area 1
54969,582.23,757.86,Area 1
54979,796.03,797.72,Area 1
54990,796.03,797.72,Area 1
55002,796.03,797.72,Area 1
55013,800.27,815.20,Area 1
55023,800.27,815.20,Area 1
55035,762.27,813.93,Area 1
55046,762.27,813.93,Area 1
55057,762.27,813.93,Area 1
55070,755.15,813.17,Area 1
55080,755.15,813.17,Area 1
55090,755.15,813.17,Area 1
55102,794.75,809.90,Area 1
55113,794.75,809.90,Area 1
55123,794.75,809.90,Area 1
55135,803.01,804.53,Area 1
55146,803.01,804.53,Area 1
55156,792.13,827.26,Area 1
55168,792.13,827.26,Area 1
55178,792.13,827.26,Area 1
55189,808.23,824.90,Area 1
55202,808.23,824.90,Area 1
55213,808.23,824.90,Area 1
55224,744.18,883.89,Area 1
55236,744.18,883.89,Area 1
55247,745.62,931.01,Area 1
55258,745.62,931.01,Area 1
55269,745.62,931.01,Area 1
55279,840.17,998.08,Area 1
55290,840.17,998.08,Area 1
55301,840.17,998.08,Area 1
55312,830.86,1010.62,Area 1
55322,830.86,1010.62,Area 1
55337,828.78,1012.88,Area 1
55351,828.78,1012.88,Area 1
55363,828.78,1012.88,Area 1
55373,844.56,1002.50,Area 1
55384,844.56,1002.50,Area 1
55395,844.56,1002.50,Area 1
55407,764.54,984.76,Area 1
55418,764.54,984.76,Area 1
55429,764.64,986.60,Area 1
55439,764.64,986.60,Area 1
55451,764.64,986.60,Area 1
55462,763.81,983.82,Area 1
55473,763.81,983.82,Area 1
55485,763.81,983.82,Area 1
55495,749.12,960.84,Area 1
55506,749.12,960.84,Area 1
55519,740.90,936.64,Area 1
55530,740.90,936.64,Area 1
55540,740.90,936.64,Area 1
55552,743.70,911.37,Area 1
55562,743.70,911.37,Area 1
55572,743.70,911.37,Area 1
55586,740.04,883.20,Area 1
55596,740.04,883.20,Area 1
55608,740.04,883.20,Area 1
55619,740.53,878.25,Area 1
55635,740.53,878.25,Area 1
55646,739.53,899.76,Area 1
55656,739.53,899.76,Area 1
55668,739.53,899.76,Area 1
55678,736.79,905.48,Area 1
55689,736.79,905.48,Area 1
55703,746.31,900.65,Area 1
55713,746.31,900.65,Area 1
55724,746.31,900.65,Area 1
55735,752.50,904.75,Area 1
55745,752.50,904.75,Area 1
55756,752.50,904.75,Area 1
55769,748.21,898.79,Area 1
55785,748.21,898.79,Area 1
55796,750.90,901.70,Area 1
55807,750.90,901.70,Area 1
55819,750.90,901.70,Area 1
55829,746.99,908.59,Area 1
55841,746.99,908.59,Area 1
55852,753.06,893.89,Area 1
55863,753.06,893.89,Area 1
55874,753.06,893.89,Area 1
55886,769.65,872.21,Area 1
55902,769.65,872.21,Area 1
55912,771.18,871.02,Area 1
55923,771.18,871.02,Area 1
55934,771.18,871.02,Area 1
55946,772.86,869.45,Area 1
55957,772.86,869.45,Area 1
55969,772.86,869.45,Area 1
55980,770.28,861.68,Area 1
55990,770.28,861.68,Area 1
56002,770.28,861.68,Area 1
56012,768.41,847.14,Area 1
56022,768.41,847.14,Area 1
56036,771.16,835.68,Area 1
56046,771.16,835.68,Area 1
56057,771.16,835.68,Area 1
56069,771.51,840.46,Area 1
56079,771.51,840.46,Area 1
56090,771.51,840.46,Area 1
56102,774.15,847.09,Area 1
56113,774.15,847.09,Area 1
56123,777.18,868.91,Area 1
56135,777.18,868.91,Area 1
56145,777.18,868.91,Area 1
56156,770.48,881.01,Area 1
56168,770.48,881.01,Area 1
56179,770.48,881.01,Area 1
56191,877.41,830.96,Area 1
56202,877.41,830.96,Area 1
56213,877.41,830.96,Area 1
56223,1057.23,807.86,Area 2
56237,1057.23,807.86,Area 2
56247,1057.23,807.86,Area 2
56258,1121.54,825.53,Area 2
56269,1121.54,825.53,Area 2
56279,1121.54,825.53,Area 2
56290,1123.63,818.74,Area 2
56302,1123.63,818.74,Area 2
56313,1121.03,821.91,Area 2
56324,1121.03,821.91,Area 2
56337,1121.03,821.91,Area 2
56352,1118.80,832.59,Area 2
56362,1118.80,832.59,Area 2
56373,1066.06,820.76,Area 2
56385,1066.06,820.76,Area 2
56396,916.20,792.75,Area 1
56406,916.20,792.75,Area 1
56418,916.20,792.75,Area 1
56429,818.25,785.43,Area 1
56439,818.25,785.43,Area 1
56451,818.25,785.43,Area 1
56462,819.66,801.24,Area 1
56473,819.66,801.24,Area 1
56485,819.66,801.24,Area 1
56496,827.80,812.38,Area 1
56506,827.80,812.38,Area 1
56520,825.29,809.95,Area 1
56535,825.29,809.95,Area 1
56545,825.29,809.95,Area 1
56556,823.24,800.89,Area 1
