Time(ms),X,Y,Area
74023,, ,Model
74034,, ,Model
74045,, ,Model
74056,, ,Model
74068,, ,Model
74078,, ,Model
74089,, ,Model
74100,, ,Model
74112,, ,Model
74122,, ,Model
74133,, ,Model
74143,, ,Model
74156,, ,Model
74166,, ,Model
74177,, ,Model
74189,, ,Model
74199,, ,Model
74210,, ,Model
74223,, ,Model
74235,, ,Model
74246,, ,Model
74256,, ,Model
74266,, ,Model
74278,, ,Model
74290,, ,Model
74305,, ,Model
74316,, ,Model
74326,, ,Model
74340,, ,Model
74350,, ,Model
74361,, ,Model
74373,, ,Model
74384,, ,Model
74395,, ,Model
74406,689.12,623.63,Area 1
74416,689.12,623.63,Area 1
74427,689.12,623.63,Area 1
74439,773.56,675.88,Area 1
74450,773.56,675.88,Area 1
74460,773.56,675.88,Area 1
74474,763.30,688.68,Area 1
74485,763.30,688.68,Area 1
74495,753.98,691.42,Area 1
74505,753.98,691.42,Area 1
74517,753.98,691.42,Area 1
74528,747.32,688.33,Area 1
74539,747.32,688.33,Area 1
74549,747.32,688.33,Area 1
74561,753.91,691.81,Area 1
74573,753.91,691.81,Area 1
74584,758.70,698.16,Area 1
74595,758.70,698.16,Area 1
74606,758.70,698.16,Area 1
74616,760.40,697.34,Area 1
74628,760.40,697.34,Area 1
74640,760.40,697.34,Area 1
74651,759.27,705.64,Area 1
74662,759.27,705.64,Area 1
74673,751.62,715.53,Area 1
74684,751.62,715.53,Area 1
74694,751.62,715.53,Area 1
74706,751.35,720.35,Area 1
74716,751.35,720.35,Area 1
74727,751.35,720.35,Area 1
74740,743.94,701.73,Area 1
74752,743.94,701.73,Area 1
74762,743.94,701.73,Area 1
74773,744.45,673.06,Area 1
74784,744.45,673.06,Area 1
74794,750.66,672.66,Area 1
74806,750.66,672.66,Area 1
74817,750.66,672.66,Area 1
74827,745.26,679.27,Area 1
74840,745.26,679.27,Area 1
74851,745.26,679.27,Area 1
74861,742.08,685.63,Area 1
74873,742.08,685.63,Area 1
74883,742.08,685.63,Area 1
74893,743.95,692.68,Area 1
74906,743.95,692.68,Area 1
74917,741.74,694.02,Area 1
74928,741.74,694.02,Area 1
74939,741.74,694.02,Area 1
74951,742.98,698.40,Area 1
74962,742.98,698.40,Area 1
74973,742.98,698.40,Area 1
74985,745.64,698.85,Area 1
74995,745.64,698.85,Area 1
75007,748.96,699.31,Area 1
75017,748.96,699.31,Area 1
75028,748.96,699.31,Area 1
75040,756.42,700.72,Area 1
75050,756.42,700.72,Area 1
75061,756.42,700.72,Area 1
75074,753.76,699.06,Area 1
75084,753.76,699.06,Area 1
75094,753.76,699.06,Area 1
75106,748.94,695.71,Area 1
75117,748.94,695.71,Area 1
75128,755.60,696.06,Area 1
75140,755.60,696.06,Area 1
75151,755.60,696.06,Area 1
75162,760.46,704.80,Area 1
75173,760.46,704.80,Area 1
75184,760.46,704.80,Area 1
75195,758.50,703.13,Area 1
