Time(ms),X,Y,Area
173938,, ,Model
173949,, ,Model
173959,, ,Model
173971,, ,Model
173981,, ,Model
173991,, ,Model
174005,, ,Model
174015,, ,Model
174026,, ,Model
174039,, ,Model
174054,, ,Model
174065,, ,Model
174076,, ,Model
174087,, ,Model
174098,, ,Model
174109,, ,Model
174121,, ,Model
174131,, ,Model
174141,, ,Model
174155,, ,Model
174165,, ,Model
174176,, ,Model
174188,, ,Model
174198,, ,Model
174209,, ,Model
174221,, ,Model
174231,, ,Model
174242,, ,Model
174254,, ,Model
174265,, ,Model
174276,, ,Model
174288,, ,Model
174298,, ,Model
174309,, ,Model
174321,, ,Model
174331,, ,Model
174343,, ,Model
174354,, ,Model
174365,, ,Model
174375,, ,Model
174387,, ,Model
174397,, ,Model
174408,, ,Model
174420,, ,Model
174431,, ,Model
174442,, ,Model
174454,, ,Model
174465,, ,Model
174476,, ,Model
174488,, ,Model
174499,, ,Model
174509,, ,Model
174520,, ,Model
174531,, ,Model
174542,, ,Model
174554,, ,Model
174565,, ,Model
174576,, ,Model
174587,, ,Model
174598,, ,Model
174609,, ,Model
174621,, ,Model
174631,, ,Model
174642,, ,Model
174654,, ,Model
174665,, ,Model
174677,, ,Model
174689,, ,Model
174704,, ,Model
174715,, ,Model
174725,, ,Model
174738,, ,Model
174748,, ,Model
174759,, ,Model
174771,, ,Model
174782,, ,Model
174792,, ,Model
174804,, ,Model
174815,, ,Model
174825,, ,Model
174838,, ,Model
174848,, ,Model
174858,, ,Model
174871,, ,Model
174881,, ,Model
174893,, ,Model
174904,, ,Model
174915,, ,Model
174926,, ,Model
174939,986.55,759.53,Area 2
174956,986.55,759.53,Area 2
174971,974.05,715.86,Area 2
174981,974.05,715.86,Area 2
174993,974.05,715.86,Area 2
175005,961.86,695.18,Area 1
175015,961.86,695.18,Area 1
175026,966.34,714.51,Area 2
175039,966.34,714.51,Area 2
175054,966.34,714.51,Area 2
175064,963.76,714.90,Area 1
175074,963.76,714.90,Area 1
175088,965.12,717.54,Area 1
175098,965.12,717.54,Area 1
175109,965.12,717.54,Area 1
175120,1059.46,754.78,Area 2
175131,1059.46,754.78,Area 2
175142,1059.46,754.78,Area 2
175154,1093.08,738.04,Area 2
175165,1093.08,738.04,Area 2
175175,1093.08,738.04,Area 2
175186,1121.99,734.32,Area 2
175197,1121.99,734.32,Area 2
175207,1121.99,734.32,Area 2
175221,1125.05,749.11,Area 2
175231,1125.05,749.11,Area 2
175242,1125.54,755.23,Area 2
175255,1125.54,755.23,Area 2
175266,1125.54,755.23,Area 2
175277,1123.98,750.17,Area 2
175287,1123.98,750.17,Area 2
175298,1123.98,750.17,Area 2
175310,1123.78,747.64,Area 2
175321,1123.78,747.64,Area 2
175331,1125.26,743.67,Area 2
175342,1125.26,743.67,Area 2
175355,1125.26,743.67,Area 2
175366,1126.62,742.52,Area 2
175376,1126.62,742.52,Area 2
175388,1126.62,742.52,Area 2
175398,1126.72,744.63,Area 2
175409,1126.72,744.63,Area 2
175421,1126.59,738.84,Area 2
175431,1126.59,738.84,Area 2
175441,1126.59,738.84,Area 2
175454,1124.94,733.15,Area 2
175464,1124.94,733.15,Area 2
175475,1124.94,733.15,Area 2
175489,1110.37,718.12,Area 2
175503,1110.37,718.12,Area 2
175515,1100.62,706.70,Area 2
175527,1100.62,706.70,Area 2
175538,1100.62,706.70,Area 2
175548,1101.25,705.55,Area 2
175559,1101.25,705.55,Area 2
175572,1099.33,707.30,Area 2
175588,1099.33,707.30,Area 2
175599,1099.33,707.30,Area 2
175610,1098.95,709.86,Area 2
175620,1098.95,709.86,Area 2
175631,1096.55,705.99,Area 2
175641,1096.55,705.99,Area 2
175654,1096.55,705.99,Area 2
175665,1092.93,708.22,Area 2
175676,1092.93,708.22,Area 2
175691,1092.93,708.22,Area 2
175704,1090.98,709.59,Area 2
175715,1090.98,709.59,Area 2
175726,1089.04,713.66,Area 2
175738,1089.04,713.66,Area 2
175749,1089.04,713.66,Area 2
175760,1088.61,718.00,Area 2
175771,1088.61,718.00,Area 2
175781,1088.61,718.00,Area 2
175791,1090.06,720.08,Area 2
175804,1090.06,720.08,Area 2
175815,1090.42,722.16,Area 2
175826,1090.42,722.16,Area 2
175838,1090.42,722.16,Area 2
175848,1088.38,723.60,Area 2
175859,1088.38,723.60,Area 2
175871,1088.38,723.60,Area 2
175882,1085.55,727.31,Area 2
175892,1085.55,727.31,Area 2
175903,1089.89,735.20,Area 2
175914,1089.89,735.20,Area 2
175924,1089.89,735.20,Area 2
175937,1093.65,737.00,Area 2
175949,1093.65,737.00,Area 2
175959,1093.65,737.00,Area 2
175971,1094.20,735.16,Area 2
175981,1094.20,735.16,Area 2
175992,1094.20,735.16,Area 2
176004,1096.55,741.18,Area 2
176015,1096.55,741.18,Area 2
176025,1101.43,745.58,Area 2
176037,1101.43,745.58,Area 2
176048,1101.43,745.58,Area 2
176060,1106.88,747.76,Area 2
176070,1106.88,747.76,Area 2
176081,1106.88,747.76,Area 2
176091,1123.30,738.96,Area 2
176104,1123.30,738.96,Area 2
176115,1141.81,727.11,Area 2
176125,1141.81,727.11,Area 2
176136,1141.81,727.11,Area 2
176146,1145.91,724.10,Area 2
176156,1145.91,724.10,Area 2
176171,1145.91,724.10,Area 2
176181,1146.87,722.65,Area 2
176192,1146.87,722.65,Area 2
176205,1147.91,720.74,Area 2
176216,1147.91,720.74,Area 2
176227,1147.91,720.74,Area 2
176238,1152.38,719.68,Area 2
176248,1152.38,719.68,Area 2
176258,1152.38,719.68,Area 2
176270,1156.23,724.34,Area 2
176280,1156.23,724.34,Area 2
176290,1156.23,724.34,Area 2
176304,1160.08,727.60,Area 2
176315,1160.08,727.60,Area 2
176326,1163.04,731.48,Area 2
176337,1163.04,731.48,Area 2
176348,1163.04,731.48,Area 2
176359,1161.55,733.19,Area 2
176371,1161.55,733.19,Area 2
176382,1161.55,733.19,Area 2
176392,1162.16,727.96,Area 2
176404,1162.16,727.96,Area 2
176415,1162.16,727.96,Area 2
176426,1164.37,730.08,Area 2
176438,1164.37,730.08,Area 2
176448,1165.94,730.39,Area 2
176459,1165.94,730.39,Area 2
176471,1165.94,730.39,Area 2
176482,1167.46,729.46,Area 2
176493,1167.46,729.46,Area 2
176504,1167.46,729.46,Area 2
176514,1168.70,733.29,Area 2
176525,1168.70,733.29,Area 2
176538,1169.12,736.05,Area 2
176548,1169.12,736.05,Area 2
176559,1169.12,736.05,Area 2
176571,1168.58,733.23,Area 2
176581,1168.58,733.23,Area 2
176592,1168.58,733.23,Area 2
176604,1170.61,727.50,Area 2
176614,1170.61,727.50,Area 2
176626,1170.61,727.50,Area 2
176637,1171.28,726.11,Area 2
176648,1171.28,726.11,Area 2
176659,1170.24,729.14,Area 2
176670,1170.24,729.14,Area 2
176681,1170.24,729.14,Area 2
176692,1169.56,727.37,Area 2
176706,1169.56,727.37,Area 2
176717,1169.56,727.37,Area 2
176728,1168.65,726.42,Area 2
176739,1168.65,726.42,Area 2
176754,1168.98,722.15,Area 2
176764,1168.98,722.15,Area 2
176775,1168.98,722.15,Area 2
176788,1167.34,711.48,Area 2
176798,1167.34,711.48,Area 2
176809,1084.11,695.27,Area 2
176821,1084.11,695.27,Area 2
176831,1084.11,695.27,Area 2
176842,893.96,692.69,Area 1
176854,893.96,692.69,Area 1
176864,893.96,692.69,Area 1
176876,779.95,712.36,Area 1
176887,779.95,712.36,Area 1
176898,779.95,712.36,Area 1
176909,776.85,722.85,Area 1
176921,776.85,722.85,Area 1
176931,784.02,721.94,Area 1
176942,784.02,721.94,Area 1
176954,784.02,721.94,Area 1
176964,786.93,724.05,Area 1
176975,786.93,724.05,Area 1
176987,786.93,724.05,Area 1
176998,787.76,719.43,Area 1
177008,787.76,719.43,Area 1
177020,791.11,715.28,Area 1
177032,791.11,715.28,Area 1
177042,791.11,715.28,Area 1
177053,793.54,720.74,Area 1
177064,793.54,720.74,Area 1
177074,793.54,720.74,Area 1
177088,793.21,726.90,Area 1
177098,793.21,726.90,Area 1
177109,793.21,726.90,Area 1
177120,762.52,742.40,Area 1
177131,762.52,742.40,Area 1
177143,717.59,753.32,Area 1
177154,717.59,753.32,Area 1
177165,717.59,753.32,Area 1
177176,699.75,759.99,Area 1
177187,699.75,759.99,Area 1
177197,699.75,759.99,Area 1
177209,694.91,768.91,Area 1
177220,694.91,768.91,Area 1
177231,692.37,786.14,Area 1
177242,692.37,786.14,Area 1
177254,692.37,786.14,Area 1
177265,706.40,795.01,Area 1
177275,706.40,795.01,Area 1
177287,706.40,795.01,Area 1
177298,706.96,791.09,Area 1
177309,706.96,791.09,Area 1
177320,706.96,791.09,Area 1
177331,693.25,798.77,Area 1
177342,693.25,798.77,Area 1
177354,653.04,724.43,Area 1
177365,653.04,724.43,Area 1
177376,653.04,724.43,Area 1
177387,653.04,724.43,Area 1
177398,653.04,724.43,Area 1
177408,653.04,724.43,Area 1
177421,653.04,724.43,Area 1
177432,653.04,724.43,Area 1
177443,653.04,724.43,Area 1
177455,653.04,724.43,Area 1
177465,653.04,724.43,Area 1
177476,653.04,724.43,Area 1
177487,653.04,724.43,Area 1
177497,653.04,724.43,Area 1
177508,653.04,724.43,Area 1
177520,653.04,724.43,Area 1
177531,653.04,724.43,Area 1
177542,653.04,724.43,Area 1
177553,653.04,724.43,Area 1
177564,653.04,724.43,Area 1
177575,653.04,724.43,Area 1
177587,653.04,724.43,Area 1
177598,653.04,724.43,Area 1
177609,653.04,724.43,Area 1
177620,653.04,724.43,Area 1
177631,653.04,724.43,Area 1
177641,653.04,724.43,Area 1
177654,653.04,724.43,Area 1
177664,653.04,724.43,Area 1
177675,653.04,724.43,Area 1
177687,653.04,724.43,Area 1
177698,653.04,724.43,Area 1
177709,653.04,724.43,Area 1
177723,653.04,724.43,Area 1
177736,653.04,724.43,Area 1
177747,653.04,724.43,Area 1
177757,653.04,724.43,Area 1
177770,653.04,724.43,Area 1
177781,653.04,724.43,Area 1
177793,653.04,724.43,Area 1
177805,653.04,724.43,Area 1
177815,653.04,724.43,Area 1
177825,653.04,724.43,Area 1
177837,653.04,724.43,Area 1
177848,653.04,724.43,Area 1
177859,, ,Model
177871,, ,Model
177881,, ,Model
177891,, ,Model
177904,, ,Model
177914,, ,Model
177925,, ,Model
177937,, ,Model
177948,, ,Model
177959,, ,Model
177971,, ,Model
177981,, ,Model
177991,, ,Model
178003,, ,Model
178015,, ,Model
178025,, ,Model
178038,, ,Model
178049,, ,Model
178059,, ,Model
178070,, ,Model
178081,, ,Model
178092,, ,Model
178103,, ,Model
178115,, ,Model
178125,, ,Model
178137,, ,Model
178148,, ,Model
178158,, ,Model
178170,, ,Model
178180,, ,Model
178191,, ,Model
178203,, ,Model
178214,, ,Model
178224,, ,Model
178237,, ,Model
178247,, ,Model
178258,, ,Model
178271,, ,Model
178281,, ,Model
178292,, ,Model
178304,, ,Model
178314,, ,Model
178325,, ,Model
178337,, ,Model
178348,872.10,801.55,Area 1
178358,872.10,801.55,Area 1
178370,872.10,801.55,Area 1
178381,872.10,801.55,Area 1
178393,872.10,801.55,Area 1
178404,872.10,801.55,Area 1
178415,844.30,792.61,Area 1
178425,844.30,792.61,Area 1
178437,844.30,792.61,Area 1
178448,845.13,783.29,Area 1
178458,845.13,783.29,Area 1
178471,841.39,779.54,Area 1
178482,841.39,779.54,Area 1
178493,841.39,779.54,Area 1
178504,820.44,787.86,Area 1
178514,820.44,787.86,Area 1
178524,820.44,787.86,Area 1
178537,773.04,778.79,Area 1
178548,773.04,778.79,Area 1
178559,773.04,778.79,Area 1
178571,739.67,766.96,Area 1
178582,739.67,766.96,Area 1
178592,739.61,764.84,Area 1
178604,739.61,764.84,Area 1
178615,739.61,764.84,Area 1
178625,737.55,765.47,Area 1
178637,737.55,765.47,Area 1
178648,737.55,765.47,Area 1
178658,736.59,766.37,Area 1
178670,736.59,766.37,Area 1
178680,736.59,766.37,Area 1
178691,735.08,767.17,Area 1
178704,735.08,767.17,Area 1
178714,730.52,776.44,Area 1
178726,730.52,776.44,Area 1
178739,730.52,776.44,Area 1
178753,722.47,782.26,Area 1
178764,722.47,782.26,Area 1
178775,710.96,779.93,Area 1
178788,710.96,779.93,Area 1
178799,710.96,779.93,Area 1
178810,705.51,781.61,Area 1
178821,705.51,781.61,Area 1
178831,705.51,781.61,Area 1
178842,701.09,782.92,Area 1
178855,701.09,782.92,Area 1
178865,695.19,783.90,Area 1
178876,695.19,783.90,Area 1
178888,695.19,783.90,Area 1
178898,690.65,784.54,Area 1
178909,690.65,784.54,Area 1
178920,690.65,784.54,Area 1
178932,689.47,775.85,Area 1
178943,689.47,775.85,Area 1
178954,683.36,770.54,Area 1
178964,683.36,770.54,Area 1
178976,683.36,770.54,Area 1
178987,683.36,770.54,Area 1
178998,674.38,768.33,Area 1
179010,674.38,768.33,Area 1
179021,671.04,770.00,Area 1
179031,671.04,770.00,Area 1
179042,671.04,770.00,Area 1
179054,680.69,777.28,Area 1
179065,680.69,777.28,Area 1
179075,683.11,776.73,Area 1
179087,683.11,776.73,Area 1
179097,683.11,776.73,Area 1
179109,676.55,772.28,Area 1
179120,676.55,772.28,Area 1
179131,676.55,772.28,Area 1
179142,673.67,768.61,Area 1
179154,673.67,768.61,Area 1
179165,673.67,768.61,Area 1
179176,666.85,763.13,Area 1
179187,666.85,763.13,Area 1
179197,665.17,758.17,Area 1
179207,665.17,758.17,Area 1
179220,665.17,758.17,Area 1
179231,667.21,762.90,Area 1
179242,667.21,762.90,Area 1
179254,667.21,762.90,Area 1
179265,667.94,769.04,Area 1
179276,667.94,769.04,Area 1
179287,667.94,769.04,Area 1
179298,672.96,761.32,Area 1
179309,672.96,761.32,Area 1
179320,676.70,762.23,Area 1
179331,676.70,762.23,Area 1
179342,676.70,762.23,Area 1
179354,678.35,764.49,Area 1
179365,678.35,764.49,Area 1
179375,678.35,764.49,Area 1
179388,679.68,760.12,Area 1
179399,679.68,760.12,Area 1
179409,676.35,754.05,Area 1
179421,676.35,754.05,Area 1
179432,676.35,754.05,Area 1
179442,671.12,748.80,Area 1
179454,671.12,748.80,Area 1
179464,671.12,748.80,Area 1
179475,670.58,749.43,Area 1
179487,670.58,749.43,Area 1
179498,673.72,750.37,Area 1
179509,673.72,750.37,Area 1
179520,673.72,750.37,Area 1
179530,674.80,750.12,Area 1
179541,674.80,750.12,Area 1
179554,674.80,750.12,Area 1
179564,672.41,743.25,Area 1
179575,672.41,743.25,Area 1
179588,669.28,740.22,Area 1
179598,669.28,740.22,Area 1
179609,669.28,740.22,Area 1
179621,672.74,737.79,Area 1
179631,672.74,737.79,Area 1
179641,672.74,737.79,Area 1
179654,709.64,728.47,Area 1
179665,709.64,728.47,Area 1
179677,709.64,728.47,Area 1
179687,743.99,721.82,Area 1
179698,743.99,721.82,Area 1
179709,753.00,728.48,Area 1
179722,753.00,728.48,Area 1
179732,753.00,728.48,Area 1
179743,752.05,724.49,Area 1
179754,752.05,724.49,Area 1
179765,752.05,724.49,Area 1
179775,737.84,716.10,Area 1
179787,737.84,716.10,Area 1
179798,737.84,716.10,Area 1
179809,736.22,715.36,Area 1
179821,736.22,715.36,Area 1
179832,739.42,716.58,Area 1
179843,739.42,716.58,Area 1
179854,739.42,716.58,Area 1
179864,780.60,698.43,Area 1
179875,780.60,698.43,Area 1
179888,780.60,698.43,Area 1
179898,778.77,691.35,Area 1
179909,778.77,691.35,Area 1
179921,721.08,674.67,Area 1
179932,721.08,674.67,Area 1
179942,721.08,674.67,Area 1
179954,713.24,619.30,Area 1
